turn_onset,turn_end,turn_duration,speaker_name
0.655,6.342,5.687,SPEAKER_00
6.511,6.865,0.354,SPEAKER_01
6.865,7.084,0.219,SPEAKER_00
8.266,9.616,1.350,SPEAKER_00
9.937,11.304,1.367,SPEAKER_01
11.438,13.564,2.126,SPEAKER_00
14.020,17.024,3.004,SPEAKER_01
17.024,20.129,3.105,SPEAKER_00
20.652,22.896,2.244,SPEAKER_00
23.420,30.626,7.206,SPEAKER_01
30.625,30.642,0.017,SPEAKER_00
32.735,36.532,3.797,SPEAKER_00
37.274,42.691,5.417,SPEAKER_00
43.450,43.787,0.337,SPEAKER_00
45.138,47.72,2.582,SPEAKER_00
48.091,49.053,0.962,SPEAKER_00
49.542,50.605,1.063,SPEAKER_00
51.061,55.263,4.202,SPEAKER_00
55.685,57.676,1.991,SPEAKER_01
58.418,59.228,0.810,SPEAKER_01
